ST	argH	cya	glpK	gnd	murC	pta	purH
80	11	20	2	10	8	13	2
81	3	1	1	21	5	9	1
82	3	11	1	3	3	10	3
83	3	11	1	3	3	11	2
84	4	15	6	15	4	8	11
85	4	15	12	15	10	6	11
86	4	15	12	15	4	6	8
87	23	1	1	1	5	1	1
88	11	13	2	10	12	2	16
89	11	14	7	22	2	1	2
90	4	25	6	23	4	6	8
91	3	24	1	3	3	5	10
92	4	16	3	15	9	23	11
93	3	11	1	3	3	11	8
94	3	1	1	3	3	10	10
95	3	14	7	3	3	12	12
96	3	11	1	3	3	9	3
97	11	3	2	10	7	13	2
98	11	14	4	20	12	13	24
99	11	13	4	9	6	12	8
100	11	14	2	10	1	13	2
101	11	14	4	20	6	2	16
102	17	9	5	15	4	8	21
103	11	9	4	9	6	11	8
104	11	20	4	9	6	11	25
105	17	26	5	15	17	6	21
106	17	9	19	4	4	8	11
107	1	12	1	8	18	17	1
108	3	1	1	3	19	3	10
109	4	9	20	7	20	6	11
110	11	14	4	24	6	2	7
111	11	2	2	5	21	13	2
112	11	13	2	5	22	2	26
113	11	27	1	2	7	11	9
114	1	11	1	3	3	18	3
115	24	20	1	9	8	8	27
116	11	13	2	10	22	2	7
117	11	14	4	24	6	2	16
118	25	14	7	25	6	11	7
119	4	9	19	15	9	8	4
120	3	28	1	3	3	18	3
121	3	14	11	3	3	8	1
122	3	12	1	3	3	3	10
123	3	12	1	3	3	27	10
124	26	9	5	15	4	4	8
125	3	5	1	3	3	18	3
126	3	1	1	1	5	18	3
127	3	23	1	3	3	3	3
128	3	5	13	3	3	32	3
129	11	20	4	9	8	11	27
130	18	12	1	3	5	11	1
131	3	12	1	1	5	18	3
132	27	13	2	9	24	2	5
133	3	1	1	8	5	3	18
134	20	12	1	26	5	31	5
135	19	12	1	27	23	3	5
136	28	12	1	8	3	3	1
137	3	12	1	3	5	1	10
138	3	14	1	3	3	3	3
139	17	19	21	15	4	20	21
140	4	19	12	28	4	28	21
141	4	19	22	7	4	20	21
142	3	12	1	1	5	1	28
143	1	11	1	8	3	15	1
144	29	12	1	29	5	1	1
145	3	1	1	3	5	29	1
146	3	11	1	4	5	9	19
147	21	29	23	15	25	6	22
148	4	30	3	7	26	20	21
149	17	19	5	15	4	30	29
150	3	19	6	15	27	8	22
151	11	13	4	5	2	2	16
152	3	11	1	8	3	32	3
153	28	1	1	4	5	3	3
154	5	12	1	8	5	11	1
155	3	1	1	3	3	11	1
156	11	13	4	10	6	11	11
157	13	12	1	8	14	33	18
158	3	1	1	8	5	25	3
159	11	14	4	30	7	13	26
160	11	20	4	9	6	11	8
161	4	4	5	15	4	24	8
162	11	18	24	3	6	11	7
163	30	13	2	5	7	2	2
164	11	13	4	9	28	11	7
165	11	13	24	5	7	2	26
166	11	9	4	9	6	11	30
167	11	14	6	24	6	2	16
168	31	9	6	15	4	4	31
169	4	29	4	15	29	6	11
170	11	20	1	10	8	13	2
171	11	12	4	10	8	13	2
172	3	12	1	31	30	33	9
173	19	1	1	8	5	3	32
174	20	1	1	26	5	1	33
175	32	14	24	10	31	11	23
176	21	13	4	10	6	11	7
177	33	30	3	7	32	20	21
178	18	12	1	3	5	5	1
179	19	12	1	26	30	11	32
180	19	1	17	3	7	16	15
181	3	12	1	8	5	33	1
182	3	11	1	3	5	3	3
183	18	1	1	8	5	3	10
184	3	11	1	3	30	3	9
185	7	11	1	8	5	3	10
186	3	12	1	3	30	3	9
187	18	1	1	24	5	3	10
188	18	1	1	8	30	1	5
189	3	12	1	8	5	33	9
190	1	12	1	8	5	3	5
191	5	12	1	24	5	11	1
192	19	12	1	26	1	11	5
193	18	12	1	8	5	3	1
194	18	12	1	8	5	18	5
195	18	12	1	8	5	33	9
196	18	12	1	8	5	3	10
197	18	12	1	8	5	3	2
198	18	12	1	3	30	3	5
199	11	11	2	10	7	13	2
200	3	13	1	8	5	15	18
201	18	12	1	8	5	3	5
202	34	12	1	27	5	1	32
203	4	15	3	1	10	6	21
204	4	9	20	10	20	6	11
205	19	1	1	26	5	11	1
206	13	11	9	3	11	25	15
207	3	12	1	10	30	3	9
208	3	5	1	3	3	12	3
209	13	1	1	3	30	2	2
210	11	20	4	10	8	2	2
211	3	12	1	8	5	15	18
212	4	9	25	7	20	6	8
213	17	31	6	4	34	8	8
214	4	15	26	15	33	8	8
215	4	15	5	7	4	4	8
